sa1_7digitcode_2016,cluster
1106502,Country Towns
1106503,Country Towns
1106504,1106504
1106505,Country Towns
1106506,Country Towns
1106507,Country Towns
1106508,1106508
1106509,Country Towns
1106510,Country Towns
1106511,Country Towns
1106512,1106512
1106513,Country Towns
1106514,Country Towns
1106515,Country Towns
1106516,1106516
1106517,Country Towns
1106518,Country Towns
1106519,Country Towns
1106520,1106520
1106521,Country Towns
1106522,Country Towns
1106523,Country Towns
1106524,1106524
1106525,Country Towns
1106526,Country Towns
1106527,Country Towns
1106528,1106528
1106529,Country Towns
1106601,Country Towns
1106602,Country Towns
1106603,Country Towns
1106604,1106604
1106605,Country Towns
1106606,Country Towns
1106607,Country Towns
1106608,1106608
1106609,Country Towns
1106610,Country Towns
1106611,Country Towns
1106612,1106612
1106613,Country Towns
1106701,Country Towns
1106702,Country Towns
1106703,Country Towns
1106704,1106704
1106705,
1106706,Country Towns
1106707,
1106708,1106708
1106709,Country Towns
1106710,Country Towns
1106711,Country Towns
1106712,1106712
1106713,Country Towns
1106714,Country Towns
1106715,Country Towns
1106716,1106716
1106717,Country Towns
1106718,Country Towns
1106719,Country Towns
1106720,1106720
1106721,Country Towns
1106722,Country Towns
1106723,Country Towns
1106724,1106724
1106725,
1106726,Country Towns
1106727,Country Towns
1106728,1106728
1106729,Country Towns
1106801,Country Towns
1106802,Country Towns
1106803,Country Towns
1106804,1106804
1106805,Country Towns
1106806,Country Towns
1106807,Country Towns
1106808,1106808
1106809,Country Towns
1106810,Country Towns
1106811,Country Towns
1106901,Country Towns
1106902,Country Towns
1106903,Country Towns
1106904,1106904
1106905,Country Towns
1106906,Country Towns
1106907,Country Towns
1106908,1106908
1106909,Country Towns
1106910,Country Towns
1106911,Country Towns
1106912,1106912
1106913,Country Towns
1106914,Country Towns
1106915,Country Towns
1106916,1106916
1106917,Country Towns
1106918,Country Towns
1106919,Country Towns
1107001,
1107002,Country Towns
1107003,Country Towns
1107004,1107004
1107005,Country Towns
1107006,Country Towns
1107007,Country Towns
1107008,1107008
1107010,Country Towns
1107011,Country Towns
1107012,1107012
1107013,Country Towns
1107014,Country Towns
1107015,Country Towns
1107016,1107016
1107017,
1107018,Country Towns
1107019,Country Towns
1107020,1107020
1107021,Country Towns
1107022,Country Towns
1107023,Country Towns
1107024,1107024
1107025,Country Towns
1107026,Country Towns
1107027,Country Towns
1107028,1107028
1107029,Country Towns
1107030,
1107032,1107032
1107101,Country Towns
1107102,Country Towns
1107103,Country Towns
1107104,1107104
1107105,Country Towns
1107106,Country Towns
1107107,Country Towns
1107108,1107108
1107109,
1107110,
1107111,Country Towns
1107112,1107112
1107113,Country Towns
1107114,Country Towns
1107115,
1107116,1107116
1107117,Country Towns
1107119,Country Towns
1107120,1107120
1107121,Country Towns
1107122,Country Towns
1107123,Country Towns
1107124,1107124
1107125,Country Towns
1107126,Country Towns
1107127,
1107128,1107128
1107201,Country Towns
1107202,Country Towns
1107203,Country Towns
1107204,1107204
1107205,Country Towns
1107206,
1107207,
1107208,1107208
1107209,Country Towns
1107210,Country Towns
1107211,
1107212,1107212
1107214,
1107215,Country Towns
1107216,1107216
1107217,
1107218,Country Towns
1107219,Country Towns
1107220,1107220
1107221,Country Towns
1107222,
1107224,1107224
1107225,
1107226,
1107227,Fringe-Growth
1107228,1107228
1107302,Country Towns
1107303,Country Towns
1107304,1107304
1107305,Country Towns
1107306,Country Towns
1107307,Country Towns
1107308,1107308
1107309,Country Towns
1107310,Country Towns
1107311,Country Towns
1107312,1107312
1107313,Country Towns
1107314,Country Towns
1107401,Country Towns
1107402,Country Towns
1107403,Country Towns
1107404,1107404
1107405,Country Towns
1107406,Country Towns
1107407,Country Towns
1107408,1107408
1107409,Country Towns
1107410,Country Towns
1107411,Country Towns
1107412,1107412
1107413,Country Towns
1107414,Country Towns
1107415,Country Towns
1107416,1107416
1107417,Country Towns
1107418,
1107419,Country Towns
1107420,1107420
1107421,
1107422,Country Towns
1107423,Country Towns
